Phenotype,HGNC
"Nabais Sa-de Vries syndrome, type 2",SPOP
Familial adenomatous polyposis 3,NTHL1
Intellectual developmental disorder with paroxysmal dyskinesia or seizures,PDE2A
Leber congenital amaurosis with early-onset deafness,TUBB4B
"Cortical dysplasia, complex, with other brain malformations 1",TUBB3
"Fibrosis of extraocular muscles, congenital, 3A",TUBB3
"Dystonia 4, torsion, autosomal dominant",TUBB4A
"Leukodystrophy, hypomyelinating, 6",TUBB4A
"Deafness, autosomal recessive 3",MYO15A
"Leukemia, acute lymphoblastic",NBN
Nijmegen breakage syndrome,NBN
"Anterior segment dysgenesis 1, multiple subtypes",PITX3
"Cataract 11, multiple types",PITX3
"Cataract 11, syndromic, autosomal recessive",PITX3
"Congenital disorder of glycosylation, type IIw",SLC37A4
Glycogen storage disease Ib,SLC37A4
Glycogen storage disease Ic,SLC37A4
Joubert syndrome 22,PDE6D
?Visual impairment and progressive phthisis bulbi,MARK3
"Spastic paraplegia 82, autosomal recessive",PCYT2
"Lymphoma, B-cell, somatic",MAD1L1
Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition,MAD1L1
"Mitochondrial complex II deficiency, nuclear type 3",SDHD
Pheochromocytoma/paraganglioma syndrome 1,SDHD
"Mitochondrial complex I deficiency, nuclear type 1",NDUFS4
?Meier-Gorlin syndrome 8,MCM5
Menke-Hennekam syndrome 2,EP300
Rubinstein-Taybi syndrome 2,EP300
"Lissencephaly 6, with microcephaly",KATNB1
?Bone marrow failure syndrome 6,MDM4
?Birk-Aharoni syndrome,PSMC1
Cone-rod dystrophy 9,ADAM9
?Megacystis-microcolon-intestinal hypoperistalsis syndrome 3,LMOD1
"Nephrotic syndrome, type 1",NPHS1
Developmental and epileptic encephalopathy 46,GRIN2D
"Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities",CLCN6
"Hypopigmentation, organomegaly, and delayed myelination and development",CLCN7
"Osteopetrosis, autosomal dominant 2",CLCN7
"Osteopetrosis, autosomal recessive 4",CLCN7
"Heterotaxy, visceral, 4, autosomal",ACVR2B
Thrombocytopenia 3,FYB1
"Deafness, autosomal dominant 76",PLS1
"Dystonia, early-onset, and/or spastic paraplegia",ATP5MC3
"Cardiomyopathy, hypertrophic 6",PRKAG2
"Glycogen storage disease of heart, lethal congenital",PRKAG2
Wolff-Parkinson-White syndrome,PRKAG2
"Rhizomelic chondrodysplasia punctata, type 2",GNPAT
Hypogonadotropic hypogonadism 19 with or without anosmia,DUSP6
"Fibrosis of extraocular muscles, congenital, 2",PHOX2A
Dehydrated hereditary stomatocytosis 2,KCNN4
"Deafness, autosomal dominant 87",PI4KB
Erythrokeratodermia variabilis et progressiva 5,KRT83
"Ectodermal dysplasia 4, hair/nail type",KRT85
"Spondylocostal dysostosis 1, autosomal recessive",DLL3
"Acute myeloid leukemia, somatic",DNMT3A
Heyn-Sproul-Jackson syndrome,DNMT3A
Tatton-Brown-Rahman syndrome,DNMT3A
?46XY sex reversal 5,CBX2
"{Breast-ovarian cancer, familial, susceptibility to, 3}",RAD51C
"Fanconi anemia, complementation group O",RAD51C
Noonan syndrome-like with loose anagen hair 1,SHOC2
"Neurodevelopmental disorder with motor regression, progressive spastic paraplegia, and oromotor dysfunction",SNAPC4
Developmental and epileptic encephalopathy 24,HCN1
"Generalized epilepsy with febrile seizures plus, type 10",HCN1
"{Epilepsy, idiopathic generalized, susceptibility to, 17}",HCN2
"Febrile seizures, familial, 2",HCN2
"Generalized epilepsy with febrile seizures plus, type 11",HCN2
"Spastic paraplegia 7, autosomal recessive",SPG7
"{Amyotrophic lateral sclerosis, susceptibility to, 25}",KIF5A
"Myoclonus, intractable, neonatal",KIF5A
"Spastic paraplegia 10, autosomal dominant",KIF5A
?Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 2,H4C11
Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 1,H4C3
Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 3,H4C5
Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 4,H4C9
"?Roifman-Chitayat syndrome, digenic","PIK3CD,KNSTRN"
"Immunodeficiency 14A, autosomal dominant",PIK3CD
"Immunodeficiency 14B, autosomal recessive",PIK3CD
Lymphoproliferative syndrome 3,CD70
Meier-Gorlin syndrome 6,GMNN
"?Febrile seizures, familial, 4",ADGRV1
"Usher syndrome, type 2C",ADGRV1
"Usher syndrome, type 2C, GPR98/PDZD7 digenic",ADGRV1
Intellectual developmental disorder with or without peripheral neuropathy,NUDT2
Smith-Lemli-Opitz syndrome,DHCR7
Peroxisome biogenesis disorder 6A (Zellweger),PEX10
Peroxisome biogenesis disorder 6B,PEX10
[Premature chromatid separation trait],BUB1B
Mosaic variegated aneuploidy syndrome 1,BUB1B
Arrhythmogenic right ventricular dysplasia 9,PKP2
Retinal arterial macroaneurysm with supravalvular pulmonic stenosis,IGFBP7
Developmental and epileptic encephalopathy 54,HNRNPU
"Macular dystrophy, vitelliform, 4",IMPG1
Retinitis pigmentosa 91,IMPG1
Pseudo-TORCH syndrome 1,OCLN
"?Intellectual developmental disorder, autosomal dominant 11",EPB41L1
"Congenital heart defects, multiple types, 6",GDF1
Right atrial isomerism (Ivemark),GDF1
"Intellectual developmental disorder, autosomal dominant 62",DLG4
"Facioscapulohumeral muscular dystrophy 4, digenic",DNMT3B
Immunodeficiency-centromeric instability-facial anomalies syndrome 1,DNMT3B
"?Intellectual developmental disorder, autosomal dominant 10",CACNG2
?Rajab interstitial lung disease with brain calcifications 2,FARSA
Developmental and epileptic encephalopathy 4,STXBP1
"{Craniosynostosis 7, susceptibility to}",SMAD6
"{Radioulnar synostosis, nonsyndromic}",SMAD6
Aortic valve disease 2,SMAD6
"{Colorectal cancer, susceptibility to, 3}",SMAD7
"{Drug addiction, susceptibility to}",FAAH
Atrial septal defect 8,CITED2
Ventricular septal defect 2,CITED2
Bile acid conjugation defect 1,BAAT
Immunodeficiency 42,RORC
Rauch-Steindl syndrome,NSD2
"{Breast-ovarian cancer, familial, susceptibility to, 4}",RAD51D
Alazami-Yuan syndrome,TAF6
"Fanconi anemia, complementation group G",FANCG
Developmental and epileptic encephalopathy 33,EEF1A2
"Intellectual developmental disorder, autosomal dominant 38",EEF1A2
[Glycerol quantitative trait locus],AQP7
"?Microcephaly 11, primary, autosomal recessive",PHC1
"Ehlers-Danlos syndrome, classic-like, 2",AEBP1
Zimmermann-Laband syndrome 3,KCNN3
"?Leber-like hereditary optic neuropathy, autosomal recessive 2",NDUFS2
"Mitochondrial complex I deficiency, nuclear type 6",NDUFS2
"?Deafness, autosomal dominant 74",PDE1C
"Brachydactyly, type B2",NOG
Multiple synostoses syndrome 1,NOG
Stapes ankylosis with broad thumbs and toes,NOG
"Symphalangism, proximal, 1A",NOG
Tarsal-carpal coalition syndrome,NOG
"[Proteinuria, chronic benign]",CUBN
Imerslund-Grasbeck syndrome 1,CUBN
"Intellectual developmental disorder with hypotonia, impaired speech, and dysmorphic facies",TNPO2
Brachyolmia 4 with mild epiphyseal and metaphyseal changes,PAPSS2
Miyoshi muscular dystrophy 1,DYSF
"Muscular dystrophy, limb-girdle, autosomal recessive 2",DYSF
"Myopathy, distal, with anterior tibial onset",DYSF
"?Deafness, autosomal dominant 75",TRRAP
Developmental delay with or without dysmorphic facies and autism,TRRAP
"Immunodeficiency, common variable, 13",IKZF1
Coffin-Siris syndrome 2,ARID1A
"Adenomas, salivary gland pleomorphic, somatic",PLAG1
Silver-Russell syndrome 4,PLAG1
"?Leukodystrophy, childhood-onset, remitting",FBP2
"{Leprosy, susceptibility to}",TLR2
"{HIV1 infection, resistance to}",TLR3
"{Immunodeficiency 83, susceptibility to viral infections}",TLR3
"{Legionnaire disease, susceptibility to}",TLR5
"{Melioidosis, susceptibility to}",TLR5
"{Systemic lupus erythematosus, resistance to}",TLR5
"{Systemic lupus erythematosus, susceptibility to, 1}",TLR5
"Myasthenic syndrome, congenital, 5",COLQ
Glycosylphosphatidylinositol biosynthesis defect 15,GPAA1
"Rhizomelic chondrodysplasia punctata, type 3",AGPS
Meier-Gorlin syndrome 2,ORC4
Mitral valve prolapse 2,DCHS1
Van Maldergem syndrome 1,DCHS1
"Spastic ataxia 2, autosomal recessive",KIF1C
Lysyl hydroxylase 3 deficiency,PLOD3
"{Colon cancer, susceptibility to}",AURKA
Holoprosencephaly 5,ZIC2
Oocyte/zygote/embryo maturation arrest 21,CHEK1
Hypomyelination with brainstem and spinal cord involvement and leg spasticity,DARS1
Neurodegeneration and seizures due to copper transport defect,SLC31A1
"{Uveal melanoma, susceptibility to, 2}",BAP1
Kury-Isidor syndrome,BAP1
Tumor predisposition syndrome 1,BAP1
"[Blood group, globoside system]",B3GALNT1
"[Blood group, P1PK system, P(k) phenotype]",B3GALNT1
"Lipodystrophy, congenital generalized, type 1",AGPAT2
Carboxypeptidase N deficiency,CPN1
Developmental delay with variable intellectual impairment and behavioral abnormalities,TCF20
Loeys-Dietz syndrome 3,SMAD3
"{Meningioma, familial, susceptibility to}","SMARCE1,SUFU"
Coffin-Siris syndrome 5,SMARCE1
Immunodeficiency 40,DOCK2
"Neurodevelopmental disorder with impaired intellectual development, hypotonia, and ataxia",DOCK3
Multiple mitochondrial dysfunctions syndrome 6,PMPCB
Neurodevelopmental disorder with or without autism or seizures,CUL3
"Pseudohypoaldosteronism, type IIE",CUL3
"Neurodevelopmental disorder with seizures, microcephaly, and brain abnormalities",PPFIBP1
Mitochondrial complex V (ATP synthase) deficiency,ATP5F1D
Choanal atresia and lymphedema,PTPN14
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1,PIK3R2
"Pituitary adenoma 4, ACTH-secreting, somatic",USP8
?Peroxisome biogenesis disorder 10B,PEX3
Peroxisome biogenesis disorder 10A (Zellweger),PEX3
Methylmalonate semialdehyde dehydrogenase deficiency,ALDH6A1
"Spastic paraplegia 12, autosomal dominant",RTN2
Intellectual developmental disorder with hypotonia and behavioral abnormalities,CDK8
"?Congenital disorder of glycosylation, type IIaa",STX5
Retinal dystrophy with macular staphyloma,CFAP410
"Spondylometaphyseal dysplasia, axial",CFAP410
"?Deafness, autosomal recessive 110",COCH
"Deafness, autosomal dominant 9",COCH
?Laurence-Moon syndrome,PNPLA6
Boucher-Neuhauser syndrome,PNPLA6
Oliver-McFarlane syndrome,PNPLA6
"Spastic paraplegia 39, autosomal recessive",PNPLA6
"Lipodystrophy, congenital generalized, type 4",CAVIN1
"Bare lymphocyte syndrome, type II, complementation group B",RFXANK
"Cholestasis, benign recurrent intrahepatic, 2",ABCB11
"Cholestasis, progressive familial intrahepatic 2",ABCB11
"Lactase deficiency, congenital",LCT
Leber congenital amaurosis 16,KCNJ13
Snowflake vitreoretinal degeneration,KCNJ13
"Cataract 12, multiple types",BFSP2
"Spondyloepimetaphyseal dysplasia with joint laxity, type 2",KIF22
"Methylmalonic aciduria and homocystinuria, cblJ type",ABCD4
"Pulmonary hypertension, primary, 4",KCNK3
"Arterial calcification, generalized, of infancy, 2",ABCC6
Pseudoxanthoma elasticum,ABCC6
"Pseudoxanthoma elasticum, forme fruste",ABCC6
"Porokeratosis 7, multiple types",MVD
"Spastic paraplegia 89, autosomal recessive",AMFR
Acromesomelic dysplasia 3,BMPR1B
"Brachydactyly, type A1, D",BMPR1B
Otosclerosis 11,FOXL1
{Rhabdoid tumor predisposition syndrome 2},SMARCA4
Coffin-Siris syndrome 4,SMARCA4
Immunodeficiency 15A,IKBKB
Immunodeficiency 15B,IKBKB
"Hyperchlorhidrosis, isolated",CA12
Oculogastrointestinal neurodevelopmental syndrome,CAPN15
ADULT syndrome,TP63
"Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3",TP63
Hay-Wells syndrome,TP63
Limb-mammary syndrome,TP63
Orofacial cleft 8,TP63
Premature ovarian failure 21,TP63
Rapp-Hodgkin syndrome,TP63
Split-hand/foot malformation 4,TP63
Sifrim-Hitz-Weiss syndrome,CHD4
"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",TRDN
?Hypogonadotropic hypogonadism 13 with or without anosmia,KISS1
Pyridoxamine 5'-phosphate oxidase deficiency,PNPO
"Cornea plana 2, autosomal recessive",KERA
{Autism susceptibility 17},SHANK2
"Peripheral neuropathy, autosomal recessive, with or without impaired intellectual development",MCM3AP
"Pulmonary hypertension, primary, 2",SMAD9
Short-rib thoracic dysplasia 3 with or without polydactyly,DYNC2H1
"Maturity-onset diabetes of the young, type VII",KLF11
Temple-Baraitser syndrome,KCNH1
Zimmermann-Laband syndrome 1,KCNH1
"Cataract 33, multiple types",BFSP1
"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder",CDK13
"{Long QT syndrome, acquired, reduced susceptibility to}",ALG10B
"Deafness, autosomal dominant 73",PTPRQ
"Deafness, autosomal recessive 84A",PTPRQ
"Deafness, autosomal dominant 2B",GJB3
"Deafness, autosomal dominant, with peripheral neuropathy",GJB3
"Deafness, autosomal recessive",GJB3
"Deafness, digenic, GJB2/GJB3",GJB3
Erythrokeratodermia variabilis et progressiva 1,GJB3
"Ciliary dyskinesia, primary, 40",DNAH9
Neurodevelopmental disorder with microcephaly and structural brain anomalies,DYNC1I2
"Ciliary dyskinesia, primary, 37",DNAH1
Spermatogenic failure 18,DNAH1
Spermatogenic failure 45,DNAH2
"Ciliary dyskinesia, primary, 3, with or without situs inversus",DNAH5
Spermatogenic failure 46,DNAH8
"Ciliary dyskinesia, primary, 7, with or without situs inversus",DNAH11
"Renal tubular acidosis, proximal, with ocular abnormalities",SLC4A4
"Erythrocytosis, familial, 4",EPAS1
"?Spondyloepiphyseal dysplasia, Kondo-Fu type",MBTPS1
"?Deafness, autosomal dominant 66",CD164
"Palmoplantar keratoderma, Nagashima type",SERPINB7
"Mitochondrial complex I deficiency, nuclear type 37",NDUFA8
Peroxisome biogenesis disorder 8A (Zellweger),PEX16
Peroxisome biogenesis disorder 8B,PEX16
"?Microcephaly 12, primary, autosomal recessive",CDK6
Developmental and epileptic encephalopathy 84,UGDH
Congenital arthrogryposis with anterior horn cell disease,GLE1
Lethal congenital contracture syndrome 1,GLE1
"Hyperthyroidism, familial gestational",TSHR
"Hyperthyroidism, nonautoimmune",TSHR
"Hypothyroidism, congenital, nongoitrous, 1",TSHR
"Thyroid adenoma, hyperfunctioning, somatic",TSHR
"Thyroid carcinoma with thyrotoxicosis, somatic",TSHR
"Carnitine deficiency, systemic primary",SLC22A5
"Atelosteogenesis, type I",FLNB
"Atelosteogenesis, type III",FLNB
Boomerang dysplasia,FLNB
Larsen syndrome,FLNB
Spondylocarpotarsal synostosis syndrome,FLNB
?Premature ovarian failure 13,MSH5
Spermatogenic failure 74,MSH5
"Intellectual developmental disorder, autosomal dominant 5",SYNGAP1
Neurodevelopmental disorder with dysmorphic facies and ischiopubic hypoplasia,NAE1
"Pigmented nodular adrenocortical disease, primary, 3",PDE8B
"Striatal degeneration, autosomal dominant","PDE8B,PDE10A"
"Ciliary dyskinesia, primary, 28",SPAG1
Progressive pseudorheumatoid dysplasia,CCN6
Hermansky-Pudlak syndrome 2,AP3B1
Neuromuscular disease and ocular or auditory anomalies with or without seizures,DHX16
"Nail disorder, nonsyndromic congenital, 1",FZD6
"Erythermalgia, primary",SCN9A
"Insensitivity to pain, congenital",SCN9A
"Neuropathy, hereditary sensory and autonomic, type IID",SCN9A
Paroxysmal extreme pain disorder,SCN9A
Small fiber neuropathy,SCN9A
"{Osteoporosis, susceptibility to}",PDLIM4
Dystonia 16,PRKRA
"?Advanced sleep phase syndrome, familial, 1",PER2
"?Advanced sleep phase syndrome, familial, 3",PER3
Spinocerebellar ataxia 37,DAB1
Autoinflammation with episodic fever and lymphadenopathy,RIPK1
Immunodeficiency 57 with autoinflammation,RIPK1
"Intellectual developmental disorder, autosomal recessive 34, with variant lissencephaly",CRADD
"Developmental delay with short stature, dysmorphic facial features, and sparse hair 2",DPH2
Al Kaissi syndrome,CDK10
Meier-Gorlin syndrome 7,CDC45
Citrullinemia,ASS1
Diamond-Blackfan anemia 1,RPS19
Combined oxidative phosphorylation deficiency 52,NFS1
"{Lumbar disc disease, susceptibility to}",CILP
?SERKAL syndrome,WNT4
Mullerian aplasia and hyperandrogenism,WNT4
?Lacrimal duct defect,IGSF3
Spermatogenic failure 5,AURKC
"{Paget disease of bone 2, early-onset}",TNFRSF11A
"Osteolysis, familial expansile",TNFRSF11A
"Osteopetrosis, autosomal recessive 7",TNFRSF11A
"Congenital disorder of glycosylation, type Ie",DPM1
"Deafness, autosomal recessive 32, with or without immotile sperm",CDC14A
[Bone mineral density variability 1],LRP5
Endosteal hyperostosis,LRP5
Exudative vitreoretinopathy 4,LRP5
"Osteopetrosis, autosomal dominant 1",LRP5
Osteoporosis-pseudoglioma syndrome,LRP5
Polycystic liver disease 4 with or without kidney cysts,LRP5
"{Coronary artery disease, autosomal dominant, 2}",LRP6
"Tooth agenesis, selective, 7",LRP6
?Immunodeficiency 37,BCL10
"{Lymphoma, follicular, somatic}",BCL10
"{Male germ cell tumor, somatic}",BCL10
"{Mesothelioma, somatic}",BCL10
"{Sezary syndrome, somatic}",BCL10
"Lymphoma, MALT, somatic",BCL10
Amyotrophic lateral sclerosis 26 with or without frontotemporal dementia,TIA1
Welander distal myopathy,TIA1
"Developmental delay with short stature, dysmorphic facial features, and sparse hair",DPH1
MEDNIK syndrome,AP1S1
"Usmani-Riazuddin syndrome, autosomal dominant",AP1G1
"Usmani-Riazuddin syndrome, autosomal recessive",AP1G1
"Deafness, autosomal dominant 2A",KCNQ4
"Ceroid lipofuscinosis, neuronal, 13 (Kufs type)",CTSF
Neurodevelopmental disorder with language delay and variable cognitive abnormalities,GABBR1
?Intellectual developmental disorder with hypertelorism and distinctive facies,CCNK
"?Cardiomyopathy, dilated, 1J",EYA4
"Deafness, autosomal dominant 10",EYA4
"Charcot-Marie-Tooth disease, type 4B1",MTMR2
"Charcot-Marie-Tooth disease, type 4B3",SBF1
"Congenital disorder of glycosylation, type Iu",DPM2
"{Uveal melanoma, susceptibility to, 1}",MBD4
Tumor predisposition syndrome 2,MBD4
"Ciliary dyskinesia, primary, 48, without situs inversus",NME5
"Night blindness, congenital stationary (complete), 1C, autosomal recessive",TRPM1
DEEAH syndrome,MADD
"Neurodevelopmental disorder with dysmorphic facies, impaired speech and hypotonia",MADD
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6",LARGE1
"Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 6",LARGE1
Lysinuric protein intolerance,SLC7A7
"Autoinflammatory syndrome, familial, with or without immunodeficiency",SOCS1
Oculoskeletodental syndrome,PIK3C2A
Infantile neuroaxonal dystrophy 1,PLA2G6
Neurodegeneration with brain iron accumulation 2B,PLA2G6
"Parkinson disease 14, autosomal recessive",PLA2G6
"Leukodystrophy, hypomyelinating, 3",AIMP1
"Squamous cell carcinoma, head and neck",TNFRSF10B
"{Breast cancer, invasive ductal}",RAD54L
"Adenocarcinoma, colonic, somatic",RAD54L
"Night blindness, congenital stationary (complete), 1D, autosomal recessive",SLC24A1
Oocyte/zygote/embryo maturation arrest 14,CDC20
Developmental and epileptic encephalopathy 109,FZR1
"Charcot-Marie-Tooth disease, dominant intermediate C",YARS1
"Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2",YARS1
Diamond-Blackfan anemia 9,RPS10
Diamond-Blackfan anemia 13,RPS29
Diamond-Blackfan anemia 6,RPL5
Hypotrichosis 12,RPL21
"?Inflammatory skin and bowel disease, neonatal, 1",ADAM17
"Mitochondrial complex IV deficiency, nuclear type 4",SCO1
?Combined oxidative phosphorylation deficiency 41,GATB
"Mitochondrial complex IV deficiency, nuclear type 6",COX15
Bjornstad syndrome,BCS1L
GRACILE syndrome,BCS1L
"Mitochondrial complex III deficiency, nuclear type 1",BCS1L
"Mitochondrial complex IV deficiency, nuclear type 23",COX11
Bardet-Biedl syndrome 5,BBS5
"Glomerulosclerosis, focal segmental, 2",TRPC6
Diamond-Blackfan anemia 8,RPS7
Developmental and epileptic encephalopathy 39,SLC25A12
?Diamond-Blackfan anemia 20,RPS15A
Spinocerebellar ataxia 8,"ATXN8OS,ATXN8"
"Auditory neuropathy, autosomal recessive, 1",OTOF
"Deafness, autosomal recessive 9",OTOF
"Brachycephaly, trichomegaly, and developmental delay",RPS23
Diamond Blackfan anemia 15 with mandibulofacial dysostosis,RPS28
"Diaphragmatic hernia 4, with cardiovascular defects",ALDH1A2
Huppke-Brendel syndrome,SLC33A1
"Spastic paraplegia 42, autosomal dominant",SLC33A1
46XY sex reversal 9,ZFPM2
Diaphragmatic hernia 3,ZFPM2
"Charcot-Marie-Tooth disease, axonal, type 2GG",GBF1
"{Stroke, susceptibility to}",ALOX5AP
Diamond-Blackfan anemia 10,RPS26
?Diamond-Blackfan anemia 17,RPS27
?Diamond-Blackfan anemia 11,RPL26
Molybdenum cofactor deficiency A,MOCS1
Molybdenum cofactor deficiency B,MOCS2
Developmental and epileptic encephalopathy 61,ADAM22
"Bile acid synthesis defect, congenital, 3",CYP7B1
"Spastic paraplegia 5A, autosomal recessive",CYP7B1
Holoprosencephaly 2,SIX3
Hyperparathyroidism 4,GCM2
"Hypoparathyroidism, familial isolated 2",GCM2
"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis",CLDN1
"Dysautonomia, familial",ELP1
Hypogonadotropic hypogonadism 20 with or without anosmia,FGF17
"Microcephaly, progressive, seizures, and cerebral and cerebellar atrophy",QARS1
RENI syndrome,SGPL1
"{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 7}",IRF3
"Ichthyosis, congenital, autosomal recessive 2",ALOX12B
"{Glomerulosclerosis, focal segmental, 4, susceptibility to}",APOL1
Neurodevelopmental disorder with hypotonia and gross motor and speech delay,UBE4A
Retinitis pigmentosa 89,KIF3B
[Junior blood group system],ABCG2
"[Uric acid concentration, serum, QTL1]",ABCG2
[Maleylacetoacetate isomerase deficiency],GSTZ1
"Amelogenesis imperfecta, type IIA1",KLK4
"?Mitochondrial complex IV deficiency, nuclear type 20",COX5A
Baller-Gerold syndrome,RECQL4
RAPADILINO syndrome,RECQL4
"Rothmund-Thomson syndrome, type 2",RECQL4
"Hydrocephalus, congenital, 2, with or without brain or eye anomalies",MPDZ
"Charcot-Marie-Tooth disease, type 1C",LITAF
"Atrial fibrillation, familial, 4",KCNE2
Long QT syndrome 6,KCNE2
Spondyloepiphyseal dysplasia with congenital joint dislocations,CHST3
Peeling skin syndrome 2,TGM5
"Intellectual developmental disorder, autosomal dominant 61",MED13
"Microcephaly, postnatal progressive, with seizures and brain atrophy",MED17
Nestor-Guillermo progeria syndrome,BANF1
?Caudal duplication anomaly,AXIN1
Craniometadiaphyseal osteosclerosis with hip dysplasia,AXIN1
Nonaka myopathy,GNE
Sialuria,GNE
"Cholestasis, progressive familial intrahepatic, 5",NR1H4
"?Mitochondrial complex IV deficiency, nuclear type 21",NDUFA4
"Mitochondrial complex I deficiency, nuclear type 26",NDUFA9
"Mitochondrial complex I deficiency, nuclear type 22",NDUFA10
"Mitochondrial complex I deficiency, nuclear type 25",NDUFB3
"?Mitochondrial complex I deficiency, nuclear type 39",NDUFB7
"?Mitochondrial complex I deficiency, nuclear type 35",NDUFB10
"Mitochondrial complex I deficiency, nuclear type 36",NDUFC2
"Mitochondrial complex I deficiency, nuclear type 8",NDUFS3
"Mitochondrial complex I deficiency, nuclear type 9",NDUFS6
"Encephalopathy, lethal, due to defective mitochondrial peroxisomal fission 1",DNM1L
Optic atrophy 5,DNM1L
"{Neuroblastoma, susceptibility to, 2}",PHOX2B
"Central hypoventilation syndrome, congenital, 1, with or without Hirschsprung disease",PHOX2B
Neuroblastoma with Hirschsprung disease,PHOX2B
"Precocious puberty, central, 2",MKRN3
"Citrullinemia, adult-onset type II",SLC25A13
"Citrullinemia, type II, neonatal-onset",SLC25A13
Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome,SLC25A15
Peroxisome biogenesis disorder 14B,PEX11B
"Griscelli syndrome, type 2",RAB27A
"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies",PLAA
"Cardiomyopathy, dilated, 1HH",BAG3
"Myopathy, myofibrillar, 6",BAG3
"Cardiomyopathy, dilated, 2F",BAG5
"?Advance sleep phase syndrome, familial, 4",TIMELESS
"Mandibulofacial dysostosis, Guion-Almeida type",EFTUD2
"?Growth restriction, hypoplastic kidneys, alopecia, and distinctive facies",ZPR1
?Retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities,ITM2B
"Dementia, familial British",ITM2B
"Dementia, familial Danish",ITM2B
"Intellectual developmental disorder, autosomal recessive 67",EIF3F
Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria),SUCLA2
"{?Thyroid cancer, nonmedullary, 5}",HABP2
"{Venous thromboembolism, susceptibility to}",HABP2
Molybdenum cofactor deficiency C,GPHN
?Vertebral hypersegmentation and orofacial anomalies,GDF11
Retinitis pigmentosa 1,RP1
Thiamine-responsive megaloblastic anemia syndrome,SLC19A2
?Glycogen storage disease XV,GYG1
Polyglucosan body myopathy 2,GYG1
"Leukoencephalopathy with vanishing white matter 5, with or without ovarian failure",EIF2B5
Immunodeficiency-centromeric instability-facial anomalies syndrome 4,HELLS
"{Hypertension, diastolic, resistance to}",KCNMB1
Tan-Almurshedi syndrome,DRG1
"Hypomagnesemia 3, renal",CLDN16
{Hypogonadotropic hypogonadism 16 with or without anosmia},SEMA3A
Immunodeficiency 64,RASGRP1
"Congenital myopathy 22A, classic",SCN4A
"Congenital myopathy 22B, severe fetal",SCN4A
Hyperkalemic periodic paralysis,SCN4A
"Hypokalemic periodic paralysis, type 2",SCN4A
"Myasthenic syndrome, congenital, 16",SCN4A
"Myotonia congenita, atypical, acetazolamide-responsive",SCN4A
Paramyotonia congenita,SCN4A
"Xeroderma pigmentosum, variant type",POLH
?Long QT syndrome 11,AKAP9
?Immunodeficiency 13,UNC119
Cone-rod dystrophy 24,UNC119
"Peripheral motor neuropathy, childhood-onset, biotin-responsive",SLC5A6
Sodium-dependent multivitamin transporter deficiency,SLC5A6
Oligodontia-colorectal cancer syndrome,AXIN2
"Epilepsy, progressive myoclonic 6",GOSR2
"Muscular dystrophy, congenital, with or without seizures",GOSR2
Wolcott-Rallison syndrome,EIF2AK3
Nijmegen breakage syndrome-like disorder,RAD50
"Congenital disorder of glycosylation, type If",MPDU1
?Retinitis pigmentosa 67,NEK2
"Amyotrophy, hereditary neuralgic",SEPTIN9
Renal hypodysplasia/aplasia 1,ITGA8
Spinocerebellar ataxia 42,CACNA1G
"Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits",CACNA1G
Prolonged electroretinal response suppression 1,RGS9
Neurodevelopmental disorder with impaired speech and hyperkinetic movements,ZNF142
"{Hypercholesterolemia, susceptibility to}",PPP1R17
"?Fanconi anemia, complementation group V",MAD2L2
"[Hair morphology 1, hair thickness]",EDAR
"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant",EDAR
"Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive",EDAR
"Night blindness, congenital stationary (complete), 1B, autosomal recessive",GRM6
"Neurodevelopmental disorder with seizures, hypotonia, and brain abnormalities",GRM7
"Myopathy, myofibrillar, 3",MYOT
Spermatogenic failure 1,SYCP2
"Cortical dysplasia, complex, with other brain malformations 14A, (bilateral frontoparietal)",ADGRG1
"Cortical dysplasia, complex, with other brain malformations 14B, (bilateral perisylvian)",ADGRG1
"{?Hepatitis, fulminant viral, susceptibility to}",IL18BP
Platelet PLC beta-2 deficiency,PLCB2
Developmental and epileptic encephalopathy 80,PIGB
